group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,Score
HTML-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,large,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,0.4099999999999999,medium,-0.040000000000000036,0.8,extra-large,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.31000000000000005,small,-0.6202499999999997,0.0,extra-large,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.94,large,-1.0,-0.8200000000000001,extra-large,Score
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,Score
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.8,large,-1.0,-0.5,extra-large,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.99,large,-1.0,-0.94,extra-large,Score
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-large,Score
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.91,large,-1.0,-0.73,extra-large,Score
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,Score
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,Score
JSON-minify1-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-large,Score
JSON-minify1-gzip1,HTML-gzip1,-0.96,large,-1.0,-0.85,extra-large,Score
HTML-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,Score
