group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify1-gzip0,HTML-gzip1,-0.14,negligible,-0.6,0.43999999999999995,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,0.17999999999999994,small,-0.36,0.72,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,0.1399999999999999,negligible,-0.38,0.6604999999999994,medium,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,-0.19999999999999996,small,-0.76,0.34049999999999964,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.3799999999999999,medium,-0.16000000000000003,0.8200000000000001,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.040000000000000036,negligible,-0.6,0.6000000000000001,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.19999999999999996,small,-0.4,0.72,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,0.6000000000000001,large,0.0,1.0,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.7,large,-1.0,-0.28,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.4,medium,-0.8,0.10000000000000009,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,0.8600000000000001,large,0.6000000000000001,1.0,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,0.5,large,-0.0004999999999995457,0.94,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.56,large,0.07950000000000053,0.9199999999999999,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,0.6000000000000001,large,0.0,1.0,large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,0.98,large,0.8799999999999999,1.0,large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,0.5800000000000001,large,0.0,1.0,large,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,-0.31999999999999995,small,-0.78,0.19999999999999996,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.24,small,-0.31999999999999995,0.78,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.6599999999999999,large,0.17999999999999994,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.3600000000000001,medium,-0.18000000000000005,0.8004999999999995,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,0.98,large,0.8799999999999999,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,0.96,large,0.8200000000000001,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.94,large,0.76,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.17999999999999994,small,-0.33999999999999997,0.6200000000000001,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.5,large,-1.0,0.0,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,0.98,large,0.8799999999999999,1.0,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,-0.06000000000000005,negligible,-0.5804999999999996,0.45999999999999996,extra-large,JS Heap Used Size (Kb)
