group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,large,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,large,CLS (s)
HTML-gzip0,HTML-gzip1,50.0,1.0,1.0,False,large,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-large,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,extra-large,CLS (s)
HTML-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-large,CLS (s)
