group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.020000000000000018,negligible,-0.5,0.54,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.45999999999999996,medium,-0.020000000000000018,0.8604999999999996,extra-large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.45999999999999996,medium,-0.040000000000000036,0.8799999999999999,extra-large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.28,small,-0.8,0.26,extra-large,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.08000000000000007,negligible,-0.4204999999999996,0.5800000000000001,extra-large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.7,large,-1.0,-0.3195000000000004,extra-large,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.6799999999999999,large,-1.0,-0.24,extra-large,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FCP (s)
