group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
HTML-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-large,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-large,CLS (s)
HTML-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,extra-large,CLS (s)
