size,metric,statistic,pvalue,significant
extra-small,FCP (s),41.808524590163955,6.439994341159214e-08,True
small,FCP (s),41.99278688524592,5.910237483799156e-08,True
medium,FCP (s),45.29573770491808,1.2632655020936756e-08,True
large,FCP (s),41.52705548917724,7.341943307359307e-08,True
extra-large,FCP (s),45.754098360655746,1.0191553773234043e-08,True
