group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,extra-small,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.6599999999999999,large,0.19999999999999996,1.0,extra-small,TTI (s)
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify1-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,TTI (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,small,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,TTI (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,TTI (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,small,TTI (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,TTI (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,medium,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,TTI (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,TTI (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,TTI (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,large,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,TTI (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,TTI (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,TTI (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,TTI (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,extra-large,TTI (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,TTI (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-large,TTI (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,TTI (s)
