size,metric,statistic,pvalue,significant
extra-small,TTI (s),56.451803278688544,6.559200680305726e-11,True
small,TTI (s),57.37704918032787,4.228258872619634e-11,True
medium,TTI (s),57.37704918032787,4.228258872619634e-11,True
large,TTI (s),57.37704918032787,4.228258872619634e-11,True
extra-large,TTI (s),57.37704918032787,4.228258872619634e-11,True
