size,metric,statistic,pvalue,significant
extra-small,LCP (s),56.451803278688544,6.559200680305726e-11,True
small,LCP (s),57.37704918032787,4.228258872619634e-11,True
medium,LCP (s),57.37704918032787,4.228258872619634e-11,True
large,LCP (s),57.37704918032787,4.228258872619634e-11,True
extra-large,LCP (s),57.37704918032787,4.228258872619634e-11,True
