group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip1,JSON-minify1-gzip1,74.5,0.0681741328176989,0.37694159069518185,False,large,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,100.0,0.0001816511460914649,0.0026641599103344564,True,large,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.0001816511460914649,0.0026641599103344564,True,large,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,75.0,0.06282359844919698,0.37694159069518185,False,large,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00018063472080753515,0.0026641599103344564,True,large,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018063472080753515,0.0026641599103344564,True,large,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,100.0,0.00017761066068896377,0.0026641599103344564,True,large,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00017761066068896377,0.0026641599103344564,True,large,FID (ms)
HTML-gzip0,HTML-gzip1,32.0,0.18421871313215732,0.45139785365542434,False,large,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,56.5,0.6499016865452631,1.0,False,extra-large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,58.0,0.5704604728984778,1.0,False,extra-large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,40.0,0.47267559351158717,1.0,False,extra-large,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,100.0,0.00017861448837368167,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.0001816511460914649,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,extra-large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,24.0,0.05381236601214543,0.376686562085018,False,extra-large,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,100.0,0.00017761066068896377,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018063472080753515,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,33.0,0.21229383619233166,1.0,False,extra-large,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00017861448837368167,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.0001816511460914649,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,100.0,0.00017861448837368167,0.0026641599103344564,True,extra-large,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.0001816511460914649,0.0026641599103344564,True,extra-large,FID (ms)
HTML-gzip0,HTML-gzip1,66.0,0.24043567524522824,1.0,False,extra-large,FID (ms)
