size,metric,statistic,pvalue,significant
extra-small,CLS (s),44.65439791800694,1.7055858292813945e-08,True
small,CLS (s),56.930706762080916,5.226018174313632e-11,True
medium,CLS (s),58.99999999999999,1.9556879738208733e-11,True
large,CLS (s),58.99999999999999,1.9556879738208733e-11,True
extra-large,CLS (s),58.99999999999999,1.9556879738208733e-11,True
