size,metric,statistic,pvalue,significant
extra-small,Score,32.25452428088971,5.290049545822595e-06,True
small,Score,58.49496921459679,2.486294867460743e-11,True
medium,Score,53.5878352742025,2.5471015279510604e-10,True
large,Score,56.43478987786566,6.612349490959156e-11,True
extra-large,Score,54.00897502451403,2.086943116757167e-10,True
