group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip1,JSON-minify1-gzip0,54.0,0.7537408059782897,0.7537408059782897,False,large,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,6.668838573092997e-05,0.0008189036682050522,True,large,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,0.00012620486872959126,0.0008189036682050522,True,large,Score
JSON-minify0-gzip1,HTML-gzip1,100.0,8.511932002400032e-05,0.0008189036682050522,True,large,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,5.8493119157503726e-05,0.0008189036682050522,True,large,Score
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00011279668284011505,0.0008189036682050522,True,large,Score
JSON-minify1-gzip0,HTML-gzip1,100.0,7.521176571182513e-05,0.0008189036682050522,True,large,Score
JSON-minify1-gzip1,HTML-gzip0,100.0,7.416794294750958e-05,0.0008189036682050522,True,large,Score
JSON-minify1-gzip1,HTML-gzip1,100.0,4.73140726040938e-05,0.000709711089061407,True,large,Score
HTML-gzip0,HTML-gzip1,0.0,9.410939751335793e-05,0.0008189036682050522,True,large,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,70.5,0.07941062599894216,0.15882125199788433,False,extra-large,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,34.5,0.13361440253771611,0.15882125199788433,False,extra-large,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,3.0,0.0002326028298439327,0.00116302905613546,True,extra-large,Score
JSON-minify0-gzip0,HTML-gzip0,100.0,0.00010313335040188052,0.0009474458965420031,True,extra-large,Score
JSON-minify0-gzip0,HTML-gzip1,0.0,0.00013334085268033925,0.0009608463109816082,True,extra-large,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,10.0,0.0005741725377175675,0.0017225176131527025,True,extra-large,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,0.5,6.893236705363564e-05,0.0008961207716972633,True,extra-large,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,5.8926938983746054e-05,0.0008839040847561908,True,extra-large,Score
JSON-minify0-gzip1,HTML-gzip1,0.0,7.895382471183359e-05,0.0009474458965420031,True,extra-large,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,4.5,0.0001938381760225767,0.00116302905613546,True,extra-large,Score
JSON-minify1-gzip0,HTML-gzip0,100.0,5.8926938983746054e-05,0.0008839040847561908,True,extra-large,Score
JSON-minify1-gzip0,HTML-gzip1,0.0,7.895382471183359e-05,0.0009474458965420031,True,extra-large,Score
JSON-minify1-gzip1,HTML-gzip0,100.0,9.164472814192718e-05,0.0009474458965420031,True,extra-large,Score
JSON-minify1-gzip1,HTML-gzip1,2.0,0.00021240893753794463,0.00116302905613546,True,extra-large,Score
HTML-gzip0,HTML-gzip1,0.0,0.00012010578887270103,0.0009608463109816082,True,extra-large,Score
