Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,extra-small,1,0,94,3.0074420500000003,16,0.007428694036299378,1.57994415,1.57994415,3.0374420500000006,16264.042,1564.601,374160,160432,124549.1015625,124549.1015625,160432
json,extra-small,1,0,77,3.1558628,16,0.31246423433610665,1.5800877249999998,1.5800877249999998,3.1708628000000005,16702.213,1610.719,377984,265712,240328.1796875,240328.1796875,265712
json,extra-small,1,0,71,3.1569940000000005,16,0.5359211504205547,1.5831744750000003,1.5831744750000003,3.1719940000000006,17261.635,1666.026,374080,169392,123307.9765625,123307.9765625,169392
json,extra-small,1,1,87,2.180842425,16,0.21981000270236228,1.579841375,1.579841375,2.1883431375,17927.922,1727.555,372800,154288,103178.4921875,103178.4921875,154288
json,extra-small,1,1,76,2.25846915,16,0.5359211504205547,1.5820177250000003,1.5820177250000003,2.27347086,18443.494,1776.569,373856,169168,127388.8671875,127388.8671875,169168
json,extra-small,1,1,98,2.10953445,16,0,1.5829204,1.5829204,2.13953778,18953.909,1825.233,373968,176848,120407.109375,120407.109375,176848
json,extra-small,1,1,98,2.1069843,16,0,1.580796175,1.580796175,2.13698751,19532.808,1872.16,372912,143280,109962.484375,109962.484375,143280
json,extra-small,1,1,98,2.10616845,16,0,1.5801106750000005,1.5801106750000005,2.13617241,20002.058,1915.408,373984,166352,118208.6796875,118208.6796875,166352
json,extra-small,1,1,98,2.1064423500000005,16,0,1.5803436500000003,1.5803436500000003,2.1364456800000005,20566.57,1963.375,372928,143280,110238.203125,110238.203125,143280
json,extra-small,1,1,98,2.1062656499999997,16,0,1.5801932499999998,1.5801932499999998,2.1362694,21029.999,2002.536,372928,174768,110107.9921875,110107.9921875,174768
json,extra-small,1,1,98,2.10605535,16,0,1.5800247499999998,1.5800247499999998,2.1360582,21539.056,2046.795,373984,152016,126815.3671875,126815.3671875,152016
json,extra-small,1,1,98,2.1072879,16,0,1.581052775,1.581052775,2.1372906300000003,22163.808,2095.26,374000,151248,123475.9140625,123475.9140625,151248
json,extra-small,1,1,98,2.10587235,16,0,1.5798673000000003,1.5798673000000003,2.13587586,22621.988,2138.651,373008,186288,107904.3046875,107904.3046875,186288
